OBEC,OKRES,KRAJ
Tuchoměřice,Praha-západ,"Středočeský kraj"
Tuchoraz,Kolín,"Středočeský kraj"
Tuchořice,Louny,"Ústecký kraj"
Tučín,Přerov,"Olomoucký kraj"
Tuhaň,"Česká Lípa","Liberecký kraj"
Tuhaň,Mělník,"Středočeský kraj"
Tuklaty,Kolín,"Středočeský kraj"
Tulešice,Znojmo,"Jihomoravský kraj"
Tuněchody,Chrudim,"Pardubický kraj"
Tupadly,"Kutná Hora","Středočeský kraj"
Tupadly,Mělník,"Středočeský kraj"
Tupesy,"Uherské Hradiště","Zlínský kraj"
Tuřany,Cheb,"Karlovarský kraj"
